AQI,High AQI,PM 1 ,High PM 1 ,PM 2.5,High PM 2.5 ,PM 10 ,High PM 10 
83,92,31,34,50,55,65,75
84,93,31,34,50,56,66,73
86,97,32,35,52,58,68,76
87,95,32,35,52,57,69,77
89,104,33,36,53,62,70,79
91,101,33,36,54,61,71,78
93,115,34,38,56,65,72,81
94,121,34,37,57,67,73,81
98,142,35,41,58,73,74,88
101,142,36,42,61,73,75,87
106,139,37,42,63,72,76,87
114,142,38,44,65,73,78,92
103,132,36,42,62,70,76,88
99,132,36,43,60,70,75,90
101,149,36,42,61,75,76,93
99,135,36,42,60,71,75,86
98,145,36,43,59,74,74,85
95,135,34,40,57,71,72,83
93,118,34,39,56,66,71,80
91,108,34,38,55,63,70,78
90,111,33,39,54,64,70,78
89,108,34,39,54,63,70,79
91,121,34,38,55,67,70,79
89,104,33,37,53,62,69,77
90,108,34,41,54,63,70,78
91,121,34,37,54,67,70,81
89,104,34,38,54,62,69,77
87,108,33,36,52,63,68,78
87,101,33,37,52,61,68,76
86,98,33,37,51,59,67,75
88,111,33,37,53,64,68,78
88,100,33,37,53,60,69,78
94,121,35,39,56,67,72,85
99,128,36,43,60,69,74,85
99,132,36,42,60,70,74,85
98,139,36,41,59,72,74,83
97,125,36,41,58,68,73,80
92,121,34,38,55,67,70,78
94,118,36,40,57,66,71,80
84,93,32,35,50,56,65,73
81,88,31,33,49,53,64,71
79,88,30,33,48,53,62,71
79,86,30,33,48,52,62,70
77,85,30,33,47,51,60,69
77,85,30,33,47,51,60,69
81,88,31,34,48,53,63,71
81,90,31,34,48,54,63,71
81,92,31,34,49,55,64,72
78,85,29,32,47,51,61,69
81,90,31,34,49,54,64,72
81,88,31,34,49,53,63,71
81,92,31,35,49,55,63,74
83,92,32,34,50,55,65,74
82,88,31,34,49,53,64,72
81,88,31,33,49,53,64,75
82,88,31,34,49,53,64,72
81,88,31,34,49,53,64,72
81,88,31,34,49,53,64,72
81,88,30,33,49,53,64,73
81,88,30,33,49,53,64,72
80,88,30,33,48,53,63,72
80,88,30,34,48,53,62,72
80,86,30,33,48,52,63,72
80,88,30,33,48,53,62,72
81,88,31,34,49,53,63,72
80,88,30,33,48,53,63,73
81,88,30,34,48,53,63,72
83,92,31,34,50,55,65,74
84,92,32,35,50,55,66,73
85,95,32,35,51,57,67,76
85,98,32,35,51,59,67,74
84,97,32,35,50,58,66,75
84,100,32,35,51,60,67,78
85,97,32,35,51,58,67,75
85,95,32,34,51,57,67,75
84,93,32,34,51,56,66,76
86,98,32,35,52,59,68,76
86,97,32,35,52,58,68,76
87,98,32,35,52,59,68,76
87,101,32,35,52,61,68,75
88,101,32,35,53,61,69,76
88,104,32,36,53,62,68,79
87,101,32,35,52,61,68,77
88,111,33,37,53,64,69,77
86,98,32,35,52,59,68,75
86,98,32,35,52,59,68,76
86,98,32,35,52,59,67,77
83,93,31,34,50,56,65,74
85,95,31,35,51,57,67,75
84,97,31,34,50,58,66,75
85,93,32,35,51,56,67,77
86,104,32,35,52,62,68,77
85,97,32,34,51,58,67,75
86,100,32,35,52,60,68,75
85,98,31,34,51,59,67,74
85,98,32,35,51,59,66,75
85,97,32,34,51,58,67,75
91,118,33,37,55,66,70,77
105,208,38,55,62,93,76,103
149,225,46,57,75,98,87,117
156,242,46,58,77,103,90,118
135,173,44,51,71,82,83,106
137,169,43,51,72,81,83,96
153,200,46,54,76,90,89,105
171,218,48,57,81,96,96,117
215,262,56,64,95,109,113,143
231,300,58,67,100,120,117,138
239,306,59,75,102,127,121,153
274,310,66,79,112,132,133,164
288,320,67,86,116,146,138,175
283,318,66,82,115,143,136,177
283,321,65,83,115,147,137,167
273,313,64,74,112,136,133,163
254,305,61,77,107,126,127,157
237,315,58,80,102,139,120,166
245,308,60,73,104,130,123,154
236,305,60,71,101,126,118,150
251,303,64,71,106,123,123,150
235,293,60,68,101,118,118,145
223,262,58,65,97,109,114,136
200,256,54,62,91,107,105,121
202,259,55,64,91,108,106,123
197,242,53,63,89,103,103,121
171,228,50,58,82,99,94,114
180,232,51,60,84,100,97,120
169,215,49,56,81,95,93,111
156,201,47,55,77,91,89,106
146,201,45,53,74,91,86,109
133,183,43,52,70,85,82,109
119,152,41,45,66,76,78,91
112,156,40,47,64,77,77,89
106,145,39,43,63,74,76,87
107,145,39,47,63,74,76,93
97,132,36,44,58,70,71,82
81,98,32,36,48,59,62,73
106,145,39,46,62,74,75,89
107,149,40,45,63,75,76,90
100,128,38,44,60,69,73,85
96,132,36,41,58,70,72,80
98,142,37,44,60,73,74,85
111,142,39,45,64,73,78,97
113,149,39,45,64,75,78,97
115,176,40,50,65,83,78,95
133,183,43,53,70,85,82,101
151,221,46,59,76,97,88,115
237,300,59,70,102,120,120,140
238,300,59,69,102,120,121,157
236,297,59,70,101,119,120,148
238,293,59,69,102,118,121,144
218,280,56,67,96,114,113,142
198,249,53,62,90,105,105,129
201,256,54,62,91,107,107,129
197,242,53,61,89,103,105,124
172,225,49,57,82,98,96,121
153,204,46,53,76,92,89,107
145,186,44,51,74,86,87,107
138,176,43,50,72,83,85,105
134,169,42,49,71,81,83,104
131,166,42,48,70,80,82,97
127,159,42,49,69,78,81,93
135,180,44,51,71,84,83,98
95,132,36,41,57,70,72,85
128,135,41,42,69,71,79,80
106,152,40,47,62,76,76,89
99,142,39,45,60,73,75,89
98,125,38,44,59,68,74,84
96,128,37,45,58,69,73,86
96,118,37,42,58,66,73,79
94,121,36,42,56,67,72,85
92,121,36,41,56,67,71,82
90,111,35,41,54,64,71,79
90,108,34,40,54,63,70,78
92,135,35,41,55,71,71,85
93,121,36,43,56,67,72,81
99,162,37,48,59,79,75,97
101,142,38,45,61,73,76,91
107,149,39,47,63,75,77,90
99,139,38,45,60,72,75,88
108,156,40,45,63,77,77,93
97,125,36,43,58,68,73,80
96,132,36,41,58,70,72,89
98,142,38,47,60,73,75,86
84,128,33,44,50,69,63,87
82,108,32,38,50,63,64,77
87,121,34,41,52,67,67,79
89,125,34,43,53,68,69,83
88,115,34,42,53,65,68,78
92,121,35,41,55,67,70,81
126,173,42,49,68,82,80,100
113,145,40,45,64,74,78,93
118,156,40,49,66,77,78,97
114,145,40,45,65,74,78,89
135,176,44,51,71,83,82,99
134,193,44,52,71,88,82,103
146,183,46,53,74,85,86,107
140,183,45,53,72,85,84,100
143,201,45,55,73,91,85,102
152,201,46,56,76,91,88,110
149,193,45,53,75,88,88,106
131,176,41,50,70,83,82,101
120,162,40,46,66,79,79,95
119,159,39,44,66,78,79,93
125,166,41,47,68,80,80,94
131,169,42,49,70,81,82,97
135,169,43,49,71,81,83,100
142,183,44,50,73,85,85,100
151,200,46,55,76,90,89,111
160,190,48,54,78,87,90,107
156,193,47,55,77,88,89,106
162,208,48,55,79,93,92,108
158,204,48,55,78,92,90,114
158,193,48,55,78,88,90,105
166,204,48,56,80,92,93,109
166,201,48,55,80,91,93,110
167,215,49,54,80,95,92,111
169,215,49,56,81,95,93,114
172,211,50,55,82,94,94,111
163,208,49,55,79,93,92,110
178,208,51,58,84,93,97,115
172,204,50,56,82,92,94,110
177,211,50,56,83,94,97,113
184,221,52,58,85,97,98,117
195,249,53,63,89,105,103,133
215,266,57,65,95,110,112,133
192,245,53,61,88,104,101,115
175,221,50,59,83,97,96,116
213,262,57,66,94,109,109,137
257,303,65,76,108,123,124,143
297,313,72,85,119,136,138,161
301,313,75,82,122,137,139,156
295,310,73,83,118,133,134,162
294,308,74,81,118,130,135,154
302,313,76,85,122,136,140,163
305,318,78,86,126,143,144,163
304,315,78,85,125,139,143,165
302,314,75,85,122,138,139,162
301,311,75,81,121,134,138,161
301,311,75,82,122,134,140,159
304,313,77,85,125,137,144,163
305,313,78,86,127,137,144,164
307,317,80,87,128,142,146,164
305,314,78,85,126,138,144,161
306,318,78,87,127,143,146,175
306,317,78,87,127,142,146,165
308,320,80,87,129,145,148,168
304,315,77,85,125,139,143,160
301,310,75,83,121,132,138,155
302,312,76,84,122,135,138,157
301,312,75,84,121,135,138,152
300,310,74,85,120,132,137,157
299,310,74,81,120,132,137,161
287,309,72,79,116,131,133,154
284,306,70,78,115,127,132,151
267,303,67,75,110,124,127,147
250,297,64,74,105,119,122,143
253,297,64,73,106,119,122,138
243,303,63,70,103,123,119,143
241,293,63,70,103,118,119,141
239,297,62,71,102,119,118,138
218,262,58,66,96,109,110,129
186,232,52,60,86,100,99,119
174,221,49,58,82,97,94,115
188,225,53,59,86,98,99,114
183,239,52,60,85,102,97,119
155,201,46,55,77,91,88,111
161,200,48,55,79,90,90,105
165,221,49,56,80,97,91,112
166,204,49,56,80,92,91,106
167,201,49,55,80,91,91,110
167,225,49,58,80,98,91,110
190,239,53,64,87,102,99,120
245,293,64,72,104,118,118,135
254,300,67,73,106,120,121,138
238,276,64,71,102,113,117,143
229,297,61,70,99,119,113,134
234,276,62,71,101,113,115,133
215,269,59,67,95,111,109,133
195,228,55,61,89,99,102,118
189,221,54,62,87,97,100,117
181,225,53,62,84,98,96,115
179,211,53,59,84,94,96,118
185,235,54,63,86,101,98,116
211,262,59,70,94,109,107,135
196,242,56,66,89,103,102,123
213,256,58,68,94,107,109,127
213,266,59,68,94,110,108,130
196,239,56,63,89,102,101,120
193,228,55,62,88,99,101,121
199,249,57,65,90,105,103,125
213,283,60,69,94,115,108,130
216,273,60,68,95,112,109,130
220,273,61,68,97,112,110,131
212,262,59,67,94,109,108,126
214,259,59,67,95,108,108,127
208,256,58,66,93,107,106,131
216,266,60,67,95,110,109,125
210,249,59,66,94,105,106,123
210,259,58,66,94,108,107,126
205,249,58,67,92,105,105,122
218,269,60,67,96,111,108,129
229,273,62,73,99,112,114,129
228,262,62,69,99,109,113,141
221,273,60,66,97,112,111,127
209,249,58,65,93,105,106,120
198,242,56,65,89,103,102,121
185,228,54,61,86,99,98,119
212,273,58,66,94,112,108,130
213,259,59,68,95,108,108,132
198,235,56,63,90,101,102,117
200,256,56,64,90,107,103,124
205,245,57,65,92,104,105,123
210,245,58,65,94,104,107,124
213,252,58,65,95,106,109,129
208,245,58,64,93,104,107,125
208,256,58,67,93,107,106,124
216,256,59,67,96,107,109,126
211,252,58,65,94,106,106,122
212,252,58,65,94,106,108,126
215,259,59,67,95,108,108,128
221,262,60,66,97,109,110,126
218,259,60,66,96,108,109,127
224,269,60,68,98,111,111,129
234,269,62,69,101,111,114,133
238,283,63,73,102,115,117,133
241,273,63,71,103,112,116,137
240,276,63,70,102,113,116,137
242,290,63,72,103,117,117,133
246,273,64,70,104,112,120,143
249,300,65,75,105,120,119,138
240,290,63,71,102,117,117,135
240,280,62,69,102,114,116,131
244,286,64,71,104,116,118,132
241,283,64,71,103,115,117,140
219,262,59,68,96,109,110,127
220,262,60,69,97,109,111,130
233,266,62,70,100,110,116,135
231,286,61,68,100,116,115,137
219,256,59,66,96,107,111,129
204,245,57,65,92,104,106,129
213,276,59,68,94,113,108,131
237,300,62,73,102,120,117,142
262,303,67,76,109,123,125,147
249,303,65,74,105,123,121,152
198,256,55,68,90,107,103,126
186,221,53,60,86,97,98,117
185,215,53,61,86,95,98,116
174,218,52,59,82,96,94,113
166,208,50,56,80,93,92,110
157,197,48,55,77,89,88,105
153,200,48,57,76,90,87,107
188,228,54,60,86,99,99,125
148,197,47,57,75,89,86,107
142,186,46,53,73,86,84,109
150,204,47,55,75,92,87,105
127,186,43,53,68,86,80,106
124,166,42,49,68,80,78,92
112,169,40,49,64,81,77,93
114,176,40,49,65,83,77,97
121,173,42,49,67,82,79,92
118,169,41,49,66,81,78,93
111,152,40,46,64,76,77,92
105,149,39,45,62,75,75,90
98,139,38,45,60,72,74,87
98,135,37,44,58,71,72,82
96,142,36,44,58,73,72,87
101,139,38,46,61,72,75,84
100,135,38,45,60,71,74,87
98,142,37,45,59,73,73,88
99,142,37,43,59,73,73,83
99,142,38,45,60,73,74,87
100,125,38,43,60,68,74,81
99,128,38,45,60,69,74,84
99,132,38,43,59,70,73,83
101,139,38,49,61,72,74,87
107,152,40,48,63,76,75,89
110,156,41,49,64,77,76,88
109,162,40,49,63,79,76,94
111,169,41,50,64,81,76,93
106,166,40,51,63,80,75,91
101,166,39,50,61,80,74,91
106,159,40,49,63,78,75,95
109,156,40,48,63,77,76,89
107,159,40,48,63,78,75,93
108,149,40,48,63,75,75,87
117,166,42,51,66,80,77,94
158,242,49,63,78,103,88,115
141,190,46,54,73,87,83,107
105,142,40,47,62,73,75,84
104,149,40,48,62,75,75,86
103,145,39,47,62,74,75,91
103,142,39,47,62,73,75,84
98,128,38,46,59,69,73,82
103,142,40,48,62,73,75,84
116,156,42,50,65,77,78,93
120,162,43,53,66,79,78,96
108,135,40,45,63,71,76,87
113,142,41,47,64,73,77,89
116,149,42,48,65,75,77,92
122,156,42,47,67,77,79,97
124,159,43,49,68,78,79,97
125,162,43,48,68,79,80,91
125,159,43,47,68,78,79,93
127,156,43,48,68,77,80,97
130,162,44,49,70,79,81,97
132,173,44,53,70,82,82,93
130,169,44,51,69,81,80,92
135,176,45,50,71,83,82,102
140,180,45,53,73,84,85,109
179,221,51,58,84,97,98,117
152,201,47,55,76,91,88,105
145,180,46,53,74,84,86,103
151,190,47,53,76,87,87,101
152,186,47,53,76,86,88,109
160,197,49,55,78,89,91,110
164,193,49,55,79,88,93,109
174,215,51,57,82,95,96,109
173,218,51,57,82,96,95,117
154,190,48,55,76,87,88,107
143,176,46,52,73,83,85,101
136,169,44,51,71,81,83,97
136,176,44,51,71,83,82,97
